id,reward,time_elapsed,cpu_cores,cpu_freq,gpu_freq,memory_freq,cl,throughput,power_cons
62,1.301,60.184,4,1908,1060,1866,3,39.03,7413
63,1.3840000000000001,60.175,3,1908,1010,1866,3,41.52,6430
64,1.453,50.151,5,1898,1060,1866,3,43.59,8038
65,1.437,55.143,5,1888,1110,1866,3,43.11,8140.5
66,1.274,55.154,5,1838,1110,1866,3,38.22,7700
67,1.5219999999999998,70.211,2,1839,1110,1866,3,45.66,5611
68,1.2630000000000001,65.2,1,1829,1110,1816,3,37.89,4915
69,1.3513333333333333,70.263,1,1779,1109,1817,3,40.54,4833
71,1.5236666666666667,60.163,5,1672,1069,1757,3,45.71,7168
72,1.5476666666666667,65.209,2,1673,1068,1756,3,46.43,5283
